Number,	Size,	Chunk Offset,	File,	SHA-256 Hash
40,	2000 B,	1616688,	Pizigani_1367_Chart_1MB (1).jpg,	8a1ed52f8c47f595dce2e72a103dcad40077e5791f89d267e87cca6a7e85ca85
41,	2000 B,	1618688,	Pizigani_1367_Chart_1MB (1).jpg,	c407cc8c1b8e361571d9f99ea69a135202048dd96314e380115f4e907106960a
42,	2000 B,	1620688,	Pizigani_1367_Chart_1MB (1).jpg,	d7abbebbb6af63846e8c64ba7d74bc87d57e07a968cc3e98543179b77c6c67e0
43,	2000 B,	1622688,	Pizigani_1367_Chart_1MB (1).jpg,	fad0f829a341febfde337c5800376ca6123537eac27f933e63393ee477d8f811
44,	2000 B,	1624688,	Pizigani_1367_Chart_1MB (1).jpg,	6a497c36896bd2917642de11146ed00b5810913ba6f66bcc21c9102dee7308f0
45,	2000 B,	1626688,	Pizigani_1367_Chart_1MB (1).jpg,	b057d53cfa44b99678b507ef89251d0f30762ee72c8520de0bb65fc14af8492f
46,	2000 B,	1628688,	Pizigani_1367_Chart_1MB (1).jpg,	2ec5fbc67084321f25f337d8a30d1fb17a772745ef60bdb840aea9ce9e537d29
47,	2000 B,	1630688,	Pizigani_1367_Chart_1MB (1).jpg,	4ca322f75b194da56615c170a1c7126ce6dc06d2b16eb41bce0ea16200d566fc
48,	2000 B,	1632688,	Pizigani_1367_Chart_1MB (1).jpg,	1c2e5e917560fbb6d832bc8d28e54458b8d4f090f6b2b75ee2b0d2de581be6b6
49,	2000 B,	1634688,	Pizigani_1367_Chart_1MB (1).jpg,	bcf9496aede510415e707850b372b64a8779c244d2c17c74ebf73247784df139
50,	2000 B,	1636688,	Pizigani_1367_Chart_1MB (1).jpg,	593dad580f1525a4d8e41b9c78948256eac2ac8396cbd5d7935e17c01e31a84a
51,	2000 B,	1638688,	Pizigani_1367_Chart_1MB (1).jpg,	ae3e545f12e70732cfe9a8f52987400160b12544e908e055906be76ca079b740
52,	2000 B,	1640688,	Pizigani_1367_Chart_1MB (1).jpg,	7150900ebd5c603eca70c94dbc5a6c725d69e80ac83be18105ed11e063ee1cbd
53,	2000 B,	1642688,	Pizigani_1367_Chart_1MB (1).jpg,	446c952c4e8edaebe05641e1d18a207e5d06853fdb9d37072a021a3938e601bf
54,	2000 B,	1644688,	Pizigani_1367_Chart_1MB (1).jpg,	5e2c2d51368cc646a7cb98d18451f0063c4bc1d715ac267ccaccce8d8b265412
55,	2000 B,	1646688,	Pizigani_1367_Chart_1MB (1).jpg,	1e611d8f355993b29180da80181d03b656ccbdb19d5abe31ea19f909b1277d61
56,	2000 B,	1648688,	Pizigani_1367_Chart_1MB (1).jpg,	d7305c82428dc295b0438e0a14b7923215ec6bdb5bceb0882a45ac29f31f8b79
57,	2000 B,	1650688,	Pizigani_1367_Chart_1MB (1).jpg,	14a2ac49687c846507d13805b5810e712e0d3d74ce9b705c7a41bcfb964b6c49
